,var1,var2,label
0,Age,Alcohol,True
1,Age,Anxiety,True
2,Age,CCI,True
3,Age,Catastrophizing,True
4,Age,Depression,True
5,Age,Education,False
6,Age,Fear_avoidance,True
7,Age,Financial_level,True
8,Age,Obesity,True
9,Age,PEG,True
10,Age,Sleep,True
11,Age,Smoking,True
12,Alcohol,Anxiety,False
13,Alcohol,CCI,True
14,Alcohol,Catastrophizing,False
15,Alcohol,Depression,False
16,Alcohol,Education,False
17,Alcohol,Fear_avoidance,False
18,Alcohol,Financial_level,False
19,Alcohol,Obesity,False
20,Alcohol,PEG,True
21,Alcohol,Sleep,False
22,Alcohol,Smoking,False
23,Anxiety,Alcohol,True
24,Anxiety,CCI,True
25,Anxiety,Catastrophizing,False
26,Anxiety,Depression,False
27,Anxiety,Education,False
28,Anxiety,Fear_avoidance,False
29,Anxiety,Financial_level,False
30,Anxiety,Obesity,False
31,Anxiety,PEG,True
32,Anxiety,Sleep,False
33,Anxiety,Smoking,True
34,CCI,Alcohol,False
35,CCI,Anxiety,False
36,CCI,Catastrophizing,False
37,CCI,Depression,False
38,CCI,Education,False
39,CCI,Fear_avoidance,False
40,CCI,Financial_level,False
41,CCI,Obesity,False
42,CCI,PEG,False
43,CCI,Sleep,False
44,CCI,Smoking,False
45,Catastrophizing,Alcohol,False
46,Catastrophizing,Anxiety,True
47,Catastrophizing,CCI,False
48,Catastrophizing,Depression,True
49,Catastrophizing,Education,False
50,Catastrophizing,Fear_avoidance,False
51,Catastrophizing,Financial_level,False
52,Catastrophizing,Obesity,False
53,Catastrophizing,PEG,True
54,Catastrophizing,Sleep,False
55,Catastrophizing,Smoking,False
56,Depression,Alcohol,True
57,Depression,Anxiety,False
58,Depression,CCI,True
59,Depression,Catastrophizing,False
60,Depression,Education,False
61,Depression,Fear_avoidance,False
62,Depression,Financial_level,False
63,Depression,Obesity,False
64,Depression,PEG,True
65,Depression,Sleep,False
66,Depression,Smoking,True
67,Education,Alcohol,True
68,Education,Anxiety,True
69,Education,CCI,True
70,Education,Catastrophizing,False
71,Education,Depression,True
72,Education,Fear_avoidance,False
73,Education,Financial_level,True
74,Education,Obesity,True
75,Education,PEG,True
76,Education,Sleep,False
77,Education,Smoking,True
78,Fear_avoidance,Alcohol,False
79,Fear_avoidance,Anxiety,True
80,Fear_avoidance,CCI,False
81,Fear_avoidance,Catastrophizing,False
82,Fear_avoidance,Depression,True
83,Fear_avoidance,Education,False
84,Fear_avoidance,Financial_level,False
85,Fear_avoidance,Obesity,False
86,Fear_avoidance,PEG,True
87,Fear_avoidance,Sleep,False
88,Fear_avoidance,Smoking,False
89,Financial_level,Alcohol,False
90,Financial_level,Anxiety,True
91,Financial_level,CCI,False
92,Financial_level,Catastrophizing,False
93,Financial_level,Depression,True
94,Financial_level,Education,False
95,Financial_level,Fear_avoidance,False
96,Financial_level,Obesity,True
97,Financial_level,PEG,True
98,Financial_level,Sleep,True
99,Financial_level,Smoking,False
100,Obesity,Alcohol,False
101,Obesity,Anxiety,True
102,Obesity,CCI,True
103,Obesity,Catastrophizing,False
104,Obesity,Depression,True
105,Obesity,Education,False
106,Obesity,Fear_avoidance,False
107,Obesity,Financial_level,False
108,Obesity,PEG,True
109,Obesity,Sleep,False
110,Obesity,Smoking,False
111,Sex,Alcohol,True
112,Sex,Anxiety,True
113,Sex,CCI,True
114,Sex,Catastrophizing,True
115,Sex,Depression,True
116,Sex,Education,True
117,Sex,Fear_avoidance,True
118,Sex,Financial_level,True
119,Sex,Obesity,True
120,Sex,PEG,True
121,Sex,Sleep,True
122,Sex,Smoking,True
123,Sleep,Alcohol,False
124,Sleep,Anxiety,True
125,Sleep,CCI,True
126,Sleep,Catastrophizing,False
127,Sleep,Depression,True
128,Sleep,Education,False
129,Sleep,Fear_avoidance,False
130,Sleep,Financial_level,False
131,Sleep,Obesity,False
132,Sleep,PEG,True
133,Sleep,Smoking,True
134,Smoking,Alcohol,False
135,Smoking,Anxiety,False
136,Smoking,CCI,False
137,Smoking,Catastrophizing,False
138,Smoking,Depression,False
139,Smoking,Education,False
140,Smoking,Fear_avoidance,False
141,Smoking,Financial_level,False
142,Smoking,Obesity,False
143,Smoking,PEG,True
144,Smoking,Sleep,False
